period_end,fy,fp,form,filed,total_revenue,cost_of_revenue,gross_profit,operating_income,net_income,total_assets,total_current_assets,cash_and_equivalents,inventory,total_liabilities,total_current_liabilities,total_equity,retained_earnings,operating_cash_flow,capital_expenditures,shares_outstanding,selling_general_admin,frequency,period_start,working_capital,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,lt_debt_to_equity,net_debt,gross_margin,operating_margin,net_margin,ocf_margin,fcf_margin,sgna_ratio,rnd_ratio,capex_ratio,interest_coverage,asset_turnover,inventory_turnover,working_capital_turnover,roa,roe,fcf_to_debt,ocf_to_current_liabilities,cash_burn_rate,liquidity_runway_quarters,altman_z_score,revenue_growth_qoq,net_income_growth_qoq,revenue_growth_yoy,net_income_growth_yoy
2016-10-29,2018,Q1,10-Q,2017-12-20,,,110078000.0,26528000.0,13243000.0,,,,,,,,,,5478000.0,,83550000.0,quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-28,2018,Q2,10-Q,2018-03-13,,,106722000.0,887000.0,233000.0,,,,,,,,,,11367000.0,,105835000.0,quarterly,2016-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.982405799290191,,
2017-04-29,2018,Q3,10-Q,2018-06-08,,,105383000.0,4015000.0,-9563000.0,,,,,,,,,35989000.0,13806000.0,,101368000.0,quarterly,2017-01-28,,,,,,,,,,,,,,,,,,,,,,,,,-35989000.0,,,,-42.042918454935624,,
2017-10-28,2019,Q2,10-Q,2019-03-12,295563000.0,166548000.0,129015000.0,9544000.0,13488000.0,298711000.0,235506000.0,131096000.0,87576000.0,178222000.0,158971000.0,78267000.0,48346000.0,24791000.0,4180000.0,27026292.0,119471000.0,quarterly,2017-04-29,76535000.0,1.4814400110712016,0.930547080914129,0.8246535531637846,2.277102738063296,0.5966368831412302,,47126000.0,0.4365059225951827,0.0322909159806877,0.04563494077404817,0.08387721061161242,0.09801971153358167,0.40421500661449505,,0.014142500921969258,,0.9894613857541236,1.9017539051795012,3.861801790030705,0.04515401173709706,0.17233316723523323,0.16255568897218076,0.1559466820992508,-24791000.0,5.288048081965229,3.873695798396531,,-2.410436055631078,,
2018-01-27,2019,Q3,10-Q,2019-06-06,295906000.0,168523000.0,127383000.0,15612000.0,3641000.0,416402000.0,358121000.0,266374000.0,80094000.0,145305000.0,129759000.0,271097000.0,51987000.0,33735000.0,8232000.0,27026292.0,111771000.0,quarterly,2017-10-28,228362000.0,2.759893340731664,2.1426413582102204,2.0528364121178493,0.5359889633599781,0.3489536553618859,,-121069000.0,0.4304846809459761,0.05275999810750712,0.012304583212236318,0.11400579913891573,0.1418254445668557,0.377724682838469,,0.027819645427939955,,0.7106257895014914,2.104065223362549,1.2957760047643654,0.008743954159682231,0.013430617085397478,0.2888200681325488,0.2599819665687929,-33735000.0,7.896072328442271,6.9261930769232904,0.0011604970852236995,-0.7300563463819691,,-0.7250622970625991
2018-04-28,2019,Q3,10-Q,2019-06-06,316741000.0,178535000.0,138206000.0,9752000.0,9487000.0,449870000.0,386723000.0,287257000.0,82222000.0,163129000.0,143688000.0,286741000.0,61474000.0,61496000.0,12026000.0,27026292.0,128454000.0,quarterly,2018-01-27,243035000.0,2.6914077723957464,2.1191818384277044,1.9991718167139914,0.5689071322203662,0.36261364394158313,,-124128000.0,0.43633757549543634,0.030788562263805445,0.029951916550115077,0.19415232003434982,0.23212024966770958,0.4055490132316309,,0.03796792963335975,,0.7040722875497366,2.171377490209433,1.303273191104162,0.021088314401938337,0.03308560687170652,0.4506985269326729,0.4279828517343132,-61496000.0,4.671149343046702,6.684795871013513,0.07041087372341215,1.6056028563581433,,39.716738197424895
2018-10-27,2020,Q2,10-Q,2020-03-10,366236000.0,201068000.0,165168000.0,10897000.0,10678000.0,550792000.0,398313000.0,173341000.0,106701000.0,217289000.0,191995000.0,333503000.0,90471000.0,50966000.0,6985000.0,27026292.0,154271000.0,quarterly,2018-04-28,206318000.0,2.074600901065132,1.5188520534388916,0.9028412198234329,0.6515353684974348,0.39450282502287615,,43948000.0,0.4509878875916076,0.02975403837962407,0.029156063303443683,0.1391616334822355,0.15823403488460994,0.42123384921198354,,0.019072401402374425,,0.6649261427181222,1.8844059568326446,1.7751044504115008,0.019386628709204202,0.032017702989178505,0.26670010907132896,0.26545482955285293,-50966000.0,3.4011105442844247,5.402201909074828,0.15626331924190429,0.12554021292294726,,-2.1165952107079367
2019-01-26,2020,Q3,10-Q,2020-06-09,370280000.0,207131000.0,163149000.0,15411000.0,11976000.0,557051000.0,413436000.0,167496000.0,103167000.0,203762000.0,177159000.0,353289000.0,102447000.0,57667000.0,11903000.0,27026292.0,147738000.0,quarterly,2018-10-27,236277000.0,2.3337002353817757,1.7513589487409615,0.9454557770138688,0.5767572723747414,0.3657869746217133,,36266000.0,0.4406098087933456,0.041619855244679704,0.03234309171437831,0.15573890029167117,0.18788484390191207,0.3989899535486659,,0.032145943610240896,,0.664714720914243,2.007725338528793,1.5671436491914152,0.021498929182426744,0.03389859293666092,0.34142774413286087,0.3255098527311624,-57667000.0,2.9045381240570864,6.053163056506073,0.011042060310837876,0.12155834425922452,0.2527955122934873,-0.1120996441281139
2019-04-27,2020,Q3,10-Q,2020-06-09,408893000.0,224445000.0,184448000.0,-4567000.0,7048000.0,591482000.0,442597000.0,143829000.0,110100000.0,216347000.0,189052000.0,375135000.0,109495000.0,75208000.0,24517000.0,27026292.0,189015000.0,quarterly,2019-01-26,253545000.0,2.341138945898483,1.7587594947421874,0.7607906819287815,0.5767177149559491,0.3657710631938081,,72518000.0,0.45109111674692404,-0.01116918117942836,0.017236783217125264,0.18393075939182132,0.24389021088646662,0.46226029792635237,,0.0599594514946453,,0.6913025248443739,2.0385558583106267,1.6127038592754739,0.011915831758193825,0.018787903021578897,0.4609493082871498,0.39781647377441126,-75208000.0,1.912416232315711,5.875567180754187,0.10428054445284651,-0.41148964595858384,0.3818340959629072,0.9357319417742378
2019-11-02,2021,Q2,10-Q,2021-03-09,444815000.0,243513000.0,201302000.0,160000.0,-178000.0,797328000.0,485487000.0,151779000.0,148502000.0,388714000.0,242894000.0,408614000.0,116496000.0,27524000.0,7502000.0,27026292.0,201142000.0,quarterly,2019-04-27,242593000.0,1.9987607763057136,1.3873747395983433,0.6248775185883554,0.9512987807564107,0.48752081953725446,,236935000.0,0.4525521846160763,0.0003597001000415903,-0.00040016636129626925,0.06187740970965457,0.07874284815035464,0.4521924845160348,,0.016865438440700067,,0.5578820761342885,1.6397960970222623,1.8335854703144774,-0.00022324564043906648,-0.0004356189459979345,0.09010737971876495,0.11331692013800258,-27524000.0,5.514423775614009,4.135225839382283,0.08785183409840713,-1.025255391600454,0.40434929484973536,-1.0187625171287025
